ReviewDate,TotalReviews,PositivePct,NegativePct,NeutralPct
2008-06-11,1,0.00,0.00,100.00
2008-06-20,1,0.00,100.00,0.00
2008-06-21,3,66.67,33.33,0.00
2008-06-22,1,0.00,0.00,100.00
2008-06-24,1,100.00,0.00,0.00
2008-06-28,1,100.00,0.00,0.00
2008-06-29,1,100.00,0.00,0.00
2008-06-30,1,0.00,100.00,0.00
2008-07-03,1,100.00,0.00,0.00
2008-07-04,2,100.00,0.00,0.00
2008-07-05,2,100.00,0.00,0.00
2008-07-06,3,66.67,33.33,0.00
2008-07-08,3,66.67,33.33,0.00
2008-07-09,1,0.00,100.00,0.00
2008-07-10,1,100.00,0.00,0.00
2008-07-14,2,100.00,0.00,0.00
2008-07-16,1,100.00,0.00,0.00
2008-07-21,1,100.00,0.00,0.00
2008-07-26,2,100.00,0.00,0.00
2008-07-28,3,100.00,0.00,0.00
2008-07-29,1,100.00,0.00,0.00
2008-07-30,2,100.00,0.00,0.00
2008-08-02,1,100.00,0.00,0.00
2008-08-04,1,100.00,0.00,0.00
2008-08-06,1,100.00,0.00,0.00
2008-08-15,1,100.00,0.00,0.00
2008-08-18,1,100.00,0.00,0.00
2008-08-23,1,0.00,100.00,0.00
2008-08-24,1,100.00,0.00,0.00
2008-08-27,1,100.00,0.00,0.00
2008-08-31,2,100.00,0.00,0.00
2008-09-01,1,0.00,100.00,0.00
2008-09-07,1,100.00,0.00,0.00
2008-09-11,1,100.00,0.00,0.00
2008-09-12,1,0.00,0.00,100.00
2008-09-15,1,100.00,0.00,0.00
2008-10-03,1,100.00,0.00,0.00
2008-10-22,1,0.00,100.00,0.00
2008-11-03,1,100.00,0.00,0.00
2008-11-10,1,100.00,0.00,0.00
2008-11-17,1,0.00,100.00,0.00
2008-11-29,1,0.00,100.00,0.00
2008-12-01,1,100.00,0.00,0.00
2008-12-02,1,100.00,0.00,0.00
2008-12-16,1,100.00,0.00,0.00
2008-12-30,1,100.00,0.00,0.00
2009-01-07,1,100.00,0.00,0.00
2009-01-10,1,100.00,0.00,0.00
2009-01-11,1,100.00,0.00,0.00
2009-01-12,3,100.00,0.00,0.00
2009-01-15,1,100.00,0.00,0.00
2009-01-20,1,0.00,0.00,100.00
2009-01-27,1,100.00,0.00,0.00
2009-01-31,1,0.00,100.00,0.00
2009-02-03,1,100.00,0.00,0.00
2009-02-17,1,100.00,0.00,0.00
2009-02-18,1,100.00,0.00,0.00
2009-02-19,1,0.00,100.00,0.00
2009-02-25,1,100.00,0.00,0.00
2009-02-27,1,100.00,0.00,0.00
2009-03-04,2,100.00,0.00,0.00
2009-03-07,2,50.00,0.00,50.00
2009-03-15,1,100.00,0.00,0.00
2009-03-18,1,100.00,0.00,0.00
2009-03-25,1,0.00,100.00,0.00
2009-03-29,1,100.00,0.00,0.00
2009-03-31,1,100.00,0.00,0.00
2009-04-06,1,0.00,100.00,0.00
2009-04-18,1,100.00,0.00,0.00
2009-04-21,1,100.00,0.00,0.00
2009-04-26,1,100.00,0.00,0.00
2009-05-01,1,100.00,0.00,0.00
2009-05-11,1,100.00,0.00,0.00
2009-05-14,1,100.00,0.00,0.00
2009-05-19,1,100.00,0.00,0.00
2009-05-24,1,100.00,0.00,0.00
2009-05-31,2,100.00,0.00,0.00
2009-06-02,1,100.00,0.00,0.00
2009-06-03,2,100.00,0.00,0.00
2009-06-11,2,100.00,0.00,0.00
2009-06-15,4,75.00,0.00,25.00
2009-06-16,3,100.00,0.00,0.00
2009-06-20,1,0.00,100.00,0.00
2009-07-01,1,100.00,0.00,0.00
2009-07-04,2,50.00,50.00,0.00
2009-07-06,1,100.00,0.00,0.00
2009-07-14,1,100.00,0.00,0.00
2009-07-17,1,0.00,100.00,0.00
2009-07-18,1,100.00,0.00,0.00
2009-07-27,1,100.00,0.00,0.00
2009-07-30,1,0.00,0.00,100.00
2009-08-01,1,100.00,0.00,0.00
2009-08-02,1,0.00,100.00,0.00
2009-08-04,2,100.00,0.00,0.00
2009-08-05,1,100.00,0.00,0.00
2009-08-12,1,100.00,0.00,0.00
2009-08-14,1,100.00,0.00,0.00
2009-08-15,1,100.00,0.00,0.00
2009-08-19,1,100.00,0.00,0.00
2009-08-21,1,0.00,100.00,0.00
2009-08-26,1,0.00,0.00,100.00
2009-09-02,1,100.00,0.00,0.00
2009-09-03,1,100.00,0.00,0.00
2009-09-05,1,100.00,0.00,0.00
2009-09-12,2,50.00,50.00,0.00
2009-09-24,2,100.00,0.00,0.00
2009-09-27,1,0.00,100.00,0.00
2009-10-01,1,100.00,0.00,0.00
2009-10-11,1,100.00,0.00,0.00
2009-10-13,1,100.00,0.00,0.00
2009-10-16,3,33.33,0.00,66.67
2009-10-21,1,100.00,0.00,0.00
2009-10-22,1,100.00,0.00,0.00
2009-10-24,1,100.00,0.00,0.00
2009-10-26,1,100.00,0.00,0.00
2009-11-01,1,100.00,0.00,0.00
2009-11-03,1,100.00,0.00,0.00
2009-11-11,2,100.00,0.00,0.00
2009-11-13,1,100.00,0.00,0.00
2009-11-14,1,100.00,0.00,0.00
2009-11-16,1,100.00,0.00,0.00
2009-11-19,2,50.00,50.00,0.00
2009-11-20,1,0.00,0.00,100.00
2009-11-26,1,100.00,0.00,0.00
2009-11-27,1,100.00,0.00,0.00
2009-11-29,1,100.00,0.00,0.00
2009-11-30,1,100.00,0.00,0.00
2009-12-05,1,0.00,0.00,100.00
2009-12-06,2,100.00,0.00,0.00
2009-12-15,1,100.00,0.00,0.00
2009-12-22,1,100.00,0.00,0.00
2009-12-23,1,100.00,0.00,0.00
2009-12-25,1,0.00,0.00,100.00
2009-12-26,1,100.00,0.00,0.00
2009-12-29,2,50.00,50.00,0.00
2009-12-30,1,100.00,0.00,0.00
2010-01-01,1,0.00,0.00,100.00
2010-01-05,2,50.00,50.00,0.00
2010-01-09,1,0.00,0.00,100.00
2010-01-11,1,100.00,0.00,0.00
2010-01-17,1,0.00,100.00,0.00
2010-01-20,2,100.00,0.00,0.00
2010-01-21,1,100.00,0.00,0.00
2010-01-22,1,100.00,0.00,0.00
2010-01-25,1,100.00,0.00,0.00
2010-01-30,1,100.00,0.00,0.00
2010-01-31,1,0.00,100.00,0.00
2010-02-01,1,100.00,0.00,0.00
2010-02-04,1,100.00,0.00,0.00
2010-02-07,2,50.00,50.00,0.00
2010-02-09,1,100.00,0.00,0.00
2010-02-12,1,100.00,0.00,0.00
2010-02-14,1,100.00,0.00,0.00
2010-02-16,1,100.00,0.00,0.00
2010-02-21,1,100.00,0.00,0.00
2010-02-22,1,100.00,0.00,0.00
2010-02-26,1,0.00,0.00,100.00
2010-03-01,1,100.00,0.00,0.00
2010-03-07,1,100.00,0.00,0.00
2010-03-09,1,100.00,0.00,0.00
2010-03-11,2,100.00,0.00,0.00
2010-03-12,2,100.00,0.00,0.00
2010-03-15,1,100.00,0.00,0.00
2010-03-21,2,100.00,0.00,0.00
2010-03-22,1,0.00,100.00,0.00
2010-03-31,1,0.00,100.00,0.00
2010-04-01,1,100.00,0.00,0.00
2010-04-05,2,100.00,0.00,0.00
2010-04-11,1,100.00,0.00,0.00
2010-04-15,1,100.00,0.00,0.00
2010-04-18,1,0.00,0.00,100.00
2010-04-19,1,100.00,0.00,0.00
2010-04-26,1,0.00,100.00,0.00
2010-04-27,1,100.00,0.00,0.00
2010-04-28,1,100.00,0.00,0.00
2010-04-29,1,100.00,0.00,0.00
2010-05-05,1,0.00,100.00,0.00
2010-05-17,1,100.00,0.00,0.00
2010-05-19,1,100.00,0.00,0.00
2010-05-25,1,0.00,100.00,0.00
2010-05-26,1,100.00,0.00,0.00
2010-05-28,1,0.00,100.00,0.00
2010-05-29,1,100.00,0.00,0.00
2010-06-02,1,100.00,0.00,0.00
2010-06-10,1,100.00,0.00,0.00
2010-06-11,1,100.00,0.00,0.00
2010-06-13,1,100.00,0.00,0.00
2010-06-16,1,0.00,100.00,0.00
2010-06-17,1,100.00,0.00,0.00
2010-06-24,2,50.00,0.00,50.00
2010-06-27,1,0.00,100.00,0.00
2010-07-02,1,0.00,0.00,100.00
2010-07-05,1,100.00,0.00,0.00
2010-07-06,1,0.00,0.00,100.00
2010-07-07,2,50.00,0.00,50.00
2010-07-09,1,100.00,0.00,0.00
2010-07-10,1,100.00,0.00,0.00
2010-07-12,1,0.00,100.00,0.00
2010-07-14,1,0.00,100.00,0.00
2010-07-27,1,100.00,0.00,0.00
2010-07-29,1,100.00,0.00,0.00
2010-07-31,2,50.00,0.00,50.00
2010-08-01,1,100.00,0.00,0.00
2010-08-03,1,100.00,0.00,0.00
2010-08-04,1,0.00,100.00,0.00
2010-08-09,1,0.00,100.00,0.00
2010-08-12,1,100.00,0.00,0.00
2010-08-13,1,100.00,0.00,0.00
2010-08-19,1,100.00,0.00,0.00
2010-08-22,1,0.00,100.00,0.00
2010-08-23,1,100.00,0.00,0.00
2010-08-24,1,0.00,100.00,0.00
2010-08-27,1,100.00,0.00,0.00
2010-08-31,1,100.00,0.00,0.00
2010-09-01,1,100.00,0.00,0.00
2010-09-03,2,50.00,0.00,50.00
2010-09-05,1,100.00,0.00,0.00
2010-09-07,2,100.00,0.00,0.00
2010-09-12,2,50.00,50.00,0.00
2010-09-13,1,100.00,0.00,0.00
2010-09-16,1,100.00,0.00,0.00
2010-09-17,2,100.00,0.00,0.00
2010-09-18,1,0.00,100.00,0.00
2010-09-22,1,100.00,0.00,0.00
2010-09-23,1,0.00,100.00,0.00
2010-09-27,1,0.00,100.00,0.00
2010-09-28,1,0.00,100.00,0.00
2010-09-29,2,100.00,0.00,0.00
2010-09-30,1,100.00,0.00,0.00
2010-10-05,1,0.00,100.00,0.00
2010-10-08,1,100.00,0.00,0.00
2010-10-13,3,66.67,33.33,0.00
2010-10-14,1,100.00,0.00,0.00
2010-10-15,2,50.00,50.00,0.00
2010-10-18,1,100.00,0.00,0.00
2010-10-21,1,100.00,0.00,0.00
2010-10-22,1,0.00,100.00,0.00
2010-10-23,1,100.00,0.00,0.00
2010-10-25,1,100.00,0.00,0.00
2010-10-29,4,75.00,0.00,25.00
2010-10-30,1,100.00,0.00,0.00
2010-11-02,1,100.00,0.00,0.00
2010-11-04,1,0.00,100.00,0.00
2010-11-05,2,50.00,0.00,50.00
2010-11-06,1,100.00,0.00,0.00
2010-11-08,1,100.00,0.00,0.00
2010-11-09,1,100.00,0.00,0.00
2010-11-11,1,0.00,100.00,0.00
2010-11-16,3,100.00,0.00,0.00
2010-11-18,2,50.00,50.00,0.00
2010-11-20,1,0.00,100.00,0.00
2010-11-21,1,100.00,0.00,0.00
2010-11-22,1,100.00,0.00,0.00
2010-11-24,1,100.00,0.00,0.00
2010-11-29,1,100.00,0.00,0.00
2010-11-30,1,100.00,0.00,0.00
2010-12-01,1,100.00,0.00,0.00
2010-12-02,2,50.00,0.00,50.00
2010-12-04,1,100.00,0.00,0.00
2010-12-07,1,100.00,0.00,0.00
2010-12-09,1,0.00,100.00,0.00
2010-12-12,1,100.00,0.00,0.00
2010-12-15,1,100.00,0.00,0.00
2010-12-16,1,100.00,0.00,0.00
2010-12-17,2,100.00,0.00,0.00
2010-12-18,3,66.67,33.33,0.00
2010-12-19,1,100.00,0.00,0.00
2010-12-21,1,100.00,0.00,0.00
2010-12-27,2,100.00,0.00,0.00
2010-12-29,1,100.00,0.00,0.00
2010-12-31,1,0.00,100.00,0.00
2011-01-01,1,100.00,0.00,0.00
2011-01-02,2,100.00,0.00,0.00
2011-01-06,2,50.00,50.00,0.00
2011-01-09,1,0.00,100.00,0.00
2011-01-12,2,100.00,0.00,0.00
2011-01-17,1,0.00,0.00,100.00
2011-01-18,2,100.00,0.00,0.00
2011-01-20,2,100.00,0.00,0.00
2011-01-21,1,100.00,0.00,0.00
2011-01-24,1,100.00,0.00,0.00
2011-01-25,1,100.00,0.00,0.00
2011-01-27,1,0.00,100.00,0.00
2011-01-29,1,100.00,0.00,0.00
2011-01-31,1,100.00,0.00,0.00
2011-02-04,1,100.00,0.00,0.00
2011-02-06,1,0.00,0.00,100.00
2011-02-07,1,0.00,0.00,100.00
2011-02-10,3,100.00,0.00,0.00
2011-02-12,1,100.00,0.00,0.00
2011-02-13,1,0.00,0.00,100.00
2011-02-14,1,100.00,0.00,0.00
2011-02-16,3,100.00,0.00,0.00
2011-02-17,2,50.00,50.00,0.00
2011-02-24,1,100.00,0.00,0.00
2011-02-25,1,100.00,0.00,0.00
2011-02-27,1,0.00,100.00,0.00
2011-02-28,1,100.00,0.00,0.00
2011-03-02,2,100.00,0.00,0.00
2011-03-04,2,100.00,0.00,0.00
2011-03-05,1,100.00,0.00,0.00
2011-03-08,1,0.00,100.00,0.00
2011-03-11,1,100.00,0.00,0.00
2011-03-13,2,100.00,0.00,0.00
2011-03-18,2,100.00,0.00,0.00
2011-03-20,1,100.00,0.00,0.00
2011-03-24,1,100.00,0.00,0.00
2011-03-25,1,0.00,0.00,100.00
2011-04-03,1,100.00,0.00,0.00
2011-04-06,1,0.00,100.00,0.00
2011-04-07,1,100.00,0.00,0.00
2011-04-09,4,25.00,50.00,25.00
2011-04-14,2,100.00,0.00,0.00
2011-04-15,1,100.00,0.00,0.00
2011-04-20,1,100.00,0.00,0.00
2011-04-22,1,100.00,0.00,0.00
2011-04-26,1,100.00,0.00,0.00
2011-04-27,3,100.00,0.00,0.00
2011-05-03,1,100.00,0.00,0.00
2011-05-04,1,100.00,0.00,0.00
2011-05-06,1,100.00,0.00,0.00
2011-05-07,1,0.00,0.00,100.00
2011-05-09,2,100.00,0.00,0.00
2011-05-11,2,100.00,0.00,0.00
2011-05-13,1,100.00,0.00,0.00
2011-05-15,2,100.00,0.00,0.00
2011-05-18,1,100.00,0.00,0.00
2011-05-22,1,100.00,0.00,0.00
2011-05-24,1,100.00,0.00,0.00
2011-05-25,1,0.00,100.00,0.00
2011-05-26,1,100.00,0.00,0.00
2011-05-28,1,100.00,0.00,0.00
2011-06-01,1,0.00,100.00,0.00
2011-06-02,1,100.00,0.00,0.00
2011-06-09,1,100.00,0.00,0.00
2011-06-10,1,100.00,0.00,0.00
2011-06-13,1,0.00,100.00,0.00
2011-06-14,1,100.00,0.00,0.00
2011-06-16,1,100.00,0.00,0.00
2011-06-18,1,0.00,100.00,0.00
2011-06-22,2,100.00,0.00,0.00
2011-06-23,2,50.00,50.00,0.00
2011-06-25,2,100.00,0.00,0.00
2011-06-26,1,100.00,0.00,0.00
2011-06-27,1,100.00,0.00,0.00
2011-06-29,1,0.00,100.00,0.00
2011-07-01,1,100.00,0.00,0.00
2011-07-02,1,100.00,0.00,0.00
2011-07-04,1,100.00,0.00,0.00
2011-07-06,1,100.00,0.00,0.00
2011-07-10,1,0.00,100.00,0.00
2011-07-12,1,0.00,0.00,100.00
2011-07-13,1,0.00,100.00,0.00
2011-07-15,1,100.00,0.00,0.00
2011-07-16,1,0.00,0.00,100.00
2011-07-20,2,100.00,0.00,0.00
2011-07-22,1,100.00,0.00,0.00
2011-07-24,1,100.00,0.00,0.00
2011-07-26,1,100.00,0.00,0.00
2011-07-28,1,0.00,100.00,0.00
2011-08-02,1,100.00,0.00,0.00
2011-08-03,1,100.00,0.00,0.00
2011-08-06,1,100.00,0.00,0.00
2011-08-07,2,0.00,50.00,50.00
2011-08-08,1,100.00,0.00,0.00
2011-08-10,2,50.00,50.00,0.00
2011-08-11,1,100.00,0.00,0.00
2011-08-12,1,100.00,0.00,0.00
2011-08-13,1,0.00,0.00,100.00
2011-08-15,1,100.00,0.00,0.00
2011-08-16,1,100.00,0.00,0.00
2011-08-23,1,100.00,0.00,0.00
2011-08-24,1,100.00,0.00,0.00
2011-08-25,1,100.00,0.00,0.00
2011-08-26,1,100.00,0.00,0.00
2011-08-27,2,100.00,0.00,0.00
2011-08-28,4,75.00,25.00,0.00
2011-08-30,1,100.00,0.00,0.00
2011-09-01,2,100.00,0.00,0.00
2011-09-03,1,100.00,0.00,0.00
2011-09-05,1,100.00,0.00,0.00
2011-09-07,1,100.00,0.00,0.00
2011-09-09,2,100.00,0.00,0.00
2011-09-11,1,100.00,0.00,0.00
2011-09-13,1,100.00,0.00,0.00
2011-09-14,2,50.00,0.00,50.00
2011-09-17,1,100.00,0.00,0.00
2011-09-19,1,100.00,0.00,0.00
2011-09-22,1,100.00,0.00,0.00
2011-09-23,1,100.00,0.00,0.00
2011-09-25,1,100.00,0.00,0.00
2011-09-28,1,100.00,0.00,0.00
2011-09-29,1,100.00,0.00,0.00
2011-10-04,1,0.00,100.00,0.00
2011-10-05,2,50.00,50.00,0.00
2011-10-08,2,50.00,0.00,50.00
2011-10-10,1,100.00,0.00,0.00
2011-10-16,2,50.00,0.00,50.00
2011-10-18,1,100.00,0.00,0.00
2011-10-20,1,100.00,0.00,0.00
2011-10-24,1,100.00,0.00,0.00
2011-10-27,1,100.00,0.00,0.00
2011-10-28,1,100.00,0.00,0.00
2011-11-01,2,100.00,0.00,0.00
2011-11-04,1,100.00,0.00,0.00
2011-11-05,3,100.00,0.00,0.00
2011-11-08,2,100.00,0.00,0.00
2011-11-09,1,100.00,0.00,0.00
2011-11-10,1,100.00,0.00,0.00
2011-11-11,1,100.00,0.00,0.00
2011-11-13,1,0.00,100.00,0.00
2011-11-14,1,100.00,0.00,0.00
2011-11-17,1,100.00,0.00,0.00
2011-11-20,1,100.00,0.00,0.00
2011-11-23,2,100.00,0.00,0.00
2011-11-26,1,100.00,0.00,0.00
2011-11-28,4,100.00,0.00,0.00
2011-11-29,1,100.00,0.00,0.00
2011-12-01,1,100.00,0.00,0.00
2011-12-02,1,100.00,0.00,0.00
2011-12-03,1,100.00,0.00,0.00
2011-12-05,1,100.00,0.00,0.00
2011-12-07,1,100.00,0.00,0.00
2011-12-08,1,100.00,0.00,0.00
2011-12-09,4,75.00,25.00,0.00
2011-12-12,1,100.00,0.00,0.00
2011-12-13,4,100.00,0.00,0.00
2011-12-14,3,66.67,33.33,0.00
2011-12-16,3,100.00,0.00,0.00
2011-12-18,1,100.00,0.00,0.00
2011-12-19,3,100.00,0.00,0.00
2011-12-20,1,100.00,0.00,0.00
2011-12-23,2,100.00,0.00,0.00
2011-12-24,1,100.00,0.00,0.00
2011-12-25,1,100.00,0.00,0.00
2011-12-27,1,0.00,100.00,0.00
2011-12-28,1,0.00,100.00,0.00
2011-12-29,1,100.00,0.00,0.00
2011-12-30,1,100.00,0.00,0.00
2011-12-31,1,0.00,0.00,100.00
2012-01-01,1,100.00,0.00,0.00
2012-01-02,1,100.00,0.00,0.00
2012-01-04,2,100.00,0.00,0.00
2012-01-05,1,100.00,0.00,0.00
2012-01-06,1,100.00,0.00,0.00
2012-01-07,2,50.00,50.00,0.00
2012-01-09,2,100.00,0.00,0.00
2012-01-10,2,100.00,0.00,0.00
2012-01-13,1,100.00,0.00,0.00
2012-01-14,3,66.67,33.33,0.00
2012-01-15,3,100.00,0.00,0.00
2012-01-16,2,100.00,0.00,0.00
2012-01-17,4,75.00,25.00,0.00
2012-01-19,1,100.00,0.00,0.00
2012-01-20,2,100.00,0.00,0.00
2012-01-21,2,100.00,0.00,0.00
2012-01-24,1,100.00,0.00,0.00
2012-01-26,2,50.00,50.00,0.00
2012-01-27,1,100.00,0.00,0.00
2012-01-28,2,100.00,0.00,0.00
2012-01-30,2,100.00,0.00,0.00
2012-01-31,4,100.00,0.00,0.00
2012-02-01,1,100.00,0.00,0.00
2012-02-02,3,100.00,0.00,0.00
2012-02-05,2,0.00,100.00,0.00
2012-02-07,1,0.00,100.00,0.00
2012-02-08,1,100.00,0.00,0.00
2012-02-11,1,0.00,100.00,0.00
2012-02-13,1,100.00,0.00,0.00
2012-02-14,1,100.00,0.00,0.00
2012-02-17,2,50.00,0.00,50.00
2012-02-19,1,100.00,0.00,0.00
2012-02-21,1,0.00,100.00,0.00
2012-02-23,1,100.00,0.00,0.00
2012-02-24,1,100.00,0.00,0.00
2012-02-26,1,100.00,0.00,0.00
2012-02-28,1,100.00,0.00,0.00
2012-02-29,1,100.00,0.00,0.00
2012-03-01,1,100.00,0.00,0.00
2012-03-02,1,0.00,100.00,0.00
2012-03-03,2,50.00,50.00,0.00
2012-03-04,3,66.67,33.33,0.00
2012-03-05,1,100.00,0.00,0.00
2012-03-06,2,100.00,0.00,0.00
2012-03-07,1,100.00,0.00,0.00
2012-03-08,1,0.00,100.00,0.00
2012-03-09,1,100.00,0.00,0.00
2012-03-12,1,100.00,0.00,0.00
2012-03-13,1,100.00,0.00,0.00
2012-03-14,1,100.00,0.00,0.00
2012-03-16,4,75.00,25.00,0.00
2012-03-18,2,100.00,0.00,0.00
2012-03-23,1,100.00,0.00,0.00
2012-03-25,1,0.00,100.00,0.00
2012-03-27,1,100.00,0.00,0.00
2012-03-30,2,100.00,0.00,0.00
2012-04-03,1,100.00,0.00,0.00
2012-04-04,1,100.00,0.00,0.00
2012-04-05,1,100.00,0.00,0.00
2012-04-06,4,75.00,25.00,0.00
2012-04-07,1,100.00,0.00,0.00
2012-04-08,2,100.00,0.00,0.00
2012-04-09,1,100.00,0.00,0.00
2012-04-10,5,80.00,0.00,20.00
2012-04-11,1,100.00,0.00,0.00
2012-04-12,1,100.00,0.00,0.00
2012-04-13,1,100.00,0.00,0.00
2012-04-14,1,100.00,0.00,0.00
2012-04-15,1,0.00,100.00,0.00
2012-04-16,1,100.00,0.00,0.00
2012-04-17,2,100.00,0.00,0.00
2012-04-18,1,0.00,0.00,100.00
2012-04-19,2,100.00,0.00,0.00
2012-04-20,1,100.00,0.00,0.00
2012-04-21,1,100.00,0.00,0.00
2012-04-22,3,66.67,0.00,33.33
2012-04-23,4,100.00,0.00,0.00
2012-04-26,4,75.00,25.00,0.00
2012-04-30,1,0.00,100.00,0.00
2012-05-03,2,100.00,0.00,0.00
2012-05-04,3,66.67,33.33,0.00
2012-05-05,2,50.00,0.00,50.00
2012-05-06,1,100.00,0.00,0.00
2012-05-08,1,100.00,0.00,0.00
2012-05-09,4,75.00,25.00,0.00
2012-05-10,1,100.00,0.00,0.00
2012-05-11,2,50.00,50.00,0.00
2012-05-15,1,100.00,0.00,0.00
2012-05-17,2,100.00,0.00,0.00
2012-05-18,1,100.00,0.00,0.00
2012-05-19,2,50.00,0.00,50.00
2012-05-22,1,100.00,0.00,0.00
2012-05-23,1,100.00,0.00,0.00
2012-05-24,1,100.00,0.00,0.00
2012-05-26,1,100.00,0.00,0.00
2012-05-28,2,50.00,0.00,50.00
2012-05-29,1,100.00,0.00,0.00
2012-05-30,1,100.00,0.00,0.00
2012-05-31,1,0.00,100.00,0.00
2012-06-01,2,100.00,0.00,0.00
2012-06-03,1,100.00,0.00,0.00
2012-06-04,1,100.00,0.00,0.00
2012-06-05,1,100.00,0.00,0.00
2012-06-07,1,100.00,0.00,0.00
2012-06-09,1,100.00,0.00,0.00
2012-06-13,3,66.67,33.33,0.00
2012-06-15,1,100.00,0.00,0.00
2012-06-16,3,66.67,33.33,0.00
2012-06-17,1,100.00,0.00,0.00
2012-06-18,2,50.00,50.00,0.00
2012-06-20,1,100.00,0.00,0.00
2012-06-21,1,100.00,0.00,0.00
2012-06-22,1,100.00,0.00,0.00
2012-06-24,1,100.00,0.00,0.00
2012-06-25,3,66.67,0.00,33.33
2012-06-27,1,100.00,0.00,0.00
2012-06-30,1,100.00,0.00,0.00
2012-07-04,2,50.00,50.00,0.00
2012-07-05,2,100.00,0.00,0.00
2012-07-06,1,100.00,0.00,0.00
2012-07-08,1,100.00,0.00,0.00
2012-07-10,1,100.00,0.00,0.00
2012-07-11,1,100.00,0.00,0.00
2012-07-12,2,100.00,0.00,0.00
2012-07-13,1,100.00,0.00,0.00
2012-07-16,1,100.00,0.00,0.00
2012-07-17,1,100.00,0.00,0.00
2012-07-19,1,100.00,0.00,0.00
2012-07-20,1,0.00,100.00,0.00
